Country,Unit,2016,2017,2018,2019,2020,2021
Finland,% growth,0.357,0.754,1.084,1.024,0.291,2.195
France,% growth,0.183,1.032,1.851,1.108,0.476,1.641
Germany,% growth,0.492,1.509,1.732,1.446,0.507,3.148
Gibraltar,% growth,0.25,2.6,1.269,1.448,1.64,1.652
Greece,% growth,-0.826,1.121,0.626,0.253,-1.248,1.221
Iceland,% growth,1.695,1.758,2.686,3.008,2.851,4.258
Ireland,% growth,0.008,0.341,0.488,0.939,-0.335,2.357
Italy,% growth,-0.125,1.227,1.137,0.611,-0.138,1.874
Liechtenstein,% growth,-0.6,0.293,0.808,1.183,1.298,1.3
Luxembourg,% growth,0.299,2.112,2.013,1.653,0.004,2.654
Malta,% growth,0.577,1.261,1.741,1.523,0.787,0.707
Monaco,% growth,0.175,1.015,1.268,1.583,1.698,1.7
Netherlands,% growth,0.317,1.381,1.703,2.634,1.272,2.673
Norway,% growth,3.55,1.875,2.765,2.168,1.287,3.483
Portugal,% growth,0.607,1.369,0.994,0.338,-0.012,1.265
Spain,% growth,-0.203,1.956,1.675,0.7,-0.323,3.092
Sweden,% growth,0.984,1.794,1.954,1.784,0.497,2.161
Switzerland,% growth,-0.435,0.534,0.936,0.363,-0.726,0.581
Turkey,% growth,7.775,11.144,16.332,15.177,12.279,19.583
United Kingdom,% growth,0.642,2.691,2.475,1.778,0.881,2.581
