year,quarter,area,level_of_edu,sex,value,unit,source
2556,ไตรมาสที่ 3,ในเขตเทศบาล,รวม,ชาย,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,ในเขตเทศบาล,รวม,หญิง,0.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,นอกเขตเทศบาล,รวม,รวม,0.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,นอกเขตเทศบาล,รวม,ชาย,0.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,นอกเขตเทศบาล,รวม,หญิง,0.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,รวม,รวม,รวม,0.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,รวม,รวม,ชาย,0.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,รวม,รวม,หญิง,0.60,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,ในเขตเทศบาล,รวม,รวม,0.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,ในเขตเทศบาล,รวม,ชาย,0.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,ในเขตเทศบาล,รวม,หญิง,0.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,นอกเขตเทศบาล,รวม,รวม,0.60,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,นอกเขตเทศบาล,รวม,ชาย,0.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,นอกเขตเทศบาล,รวม,หญิง,0.50,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,รวม,รวม,รวม,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,รวม,รวม,ชาย,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,รวม,รวม,หญิง,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,ในเขตเทศบาล,รวม,รวม,1.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,ในเขตเทศบาล,รวม,ชาย,1.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,ในเขตเทศบาล,รวม,หญิง,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,นอกเขตเทศบาล,รวม,รวม,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,นอกเขตเทศบาล,รวม,ชาย,0.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,นอกเขตเทศบาล,รวม,หญิง,1.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,รวม,รวม,รวม,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,รวม,รวม,ชาย,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,รวม,รวม,หญิง,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,ในเขตเทศบาล,รวม,รวม,1.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,ในเขตเทศบาล,รวม,ชาย,1.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,ในเขตเทศบาล,รวม,หญิง,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,นอกเขตเทศบาล,รวม,รวม,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,นอกเขตเทศบาล,รวม,ชาย,0.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,นอกเขตเทศบาล,รวม,หญิง,1.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,รวม,รวม,รวม,0.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,รวม,รวม,ชาย,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,รวม,รวม,หญิง,0.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,ในเขตเทศบาล,รวม,รวม,0.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,ในเขตเทศบาล,รวม,ชาย,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,ในเขตเทศบาล,รวม,หญิง,0.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,นอกเขตเทศบาล,รวม,รวม,0.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,นอกเขตเทศบาล,รวม,ชาย,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,นอกเขตเทศบาล,รวม,หญิง,0.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,รวม,รวม,รวม,0.60,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,รวม,รวม,ชาย,0.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,รวม,รวม,หญิง,0.50,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ในเขตเทศบาล,รวม,รวม,0.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ในเขตเทศบาล,รวม,ชาย,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ในเขตเทศบาล,รวม,หญิง,0.40,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,นอกเขตเทศบาล,รวม,รวม,0.60,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,นอกเขตเทศบาล,รวม,ชาย,0.60,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,นอกเขตเทศบาล,รวม,หญิง,0.50,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,รวม,รวม,รวม,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,รวม,รวม,ชาย,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,รวม,รวม,หญิง,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ในเขตเทศบาล,รวม,รวม,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ในเขตเทศบาล,รวม,ชาย,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ในเขตเทศบาล,รวม,หญิง,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,นอกเขตเทศบาล,รวม,รวม,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,นอกเขตเทศบาล,รวม,ชาย,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,นอกเขตเทศบาล,รวม,หญิง,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,รวม,รวม,รวม,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,รวม,รวม,ชาย,0.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,รวม,รวม,หญิง,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ในเขตเทศบาล,รวม,รวม,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ในเขตเทศบาล,รวม,ชาย,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ในเขตเทศบาล,รวม,หญิง,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,นอกเขตเทศบาล,รวม,รวม,0.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,นอกเขตเทศบาล,รวม,ชาย,0.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,นอกเขตเทศบาล,รวม,หญิง,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,รวม,รวม,รวม,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,รวม,รวม,ชาย,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,รวม,รวม,หญิง,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ในเขตเทศบาล,รวม,รวม,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ในเขตเทศบาล,รวม,ชาย,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ในเขตเทศบาล,รวม,หญิง,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,นอกเขตเทศบาล,รวม,รวม,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,นอกเขตเทศบาล,รวม,ชาย,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,นอกเขตเทศบาล,รวม,หญิง,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,รวม,รวม,รวม,0.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,รวม,รวม,ชาย,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,รวม,รวม,หญิง,0.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ในเขตเทศบาล,รวม,รวม,0.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ในเขตเทศบาล,รวม,ชาย,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ในเขตเทศบาล,รวม,หญิง,0.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,นอกเขตเทศบาล,รวม,รวม,0.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,นอกเขตเทศบาล,รวม,ชาย,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,นอกเขตเทศบาล,รวม,หญิง,0.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 1,รวม,รวม,รวม,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 1,รวม,รวม,ชาย,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 1,รวม,รวม,หญิง,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 1,ในเขตเทศบาล,รวม,รวม,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 1,ในเขตเทศบาล,รวม,ชาย,1.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 1,ในเขตเทศบาล,รวม,หญิง,0.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 1,นอกเขตเทศบาล,รวม,รวม,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 1,นอกเขตเทศบาล,รวม,ชาย,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 1,นอกเขตเทศบาล,รวม,หญิง,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 2,รวม,รวม,รวม,1.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 2,รวม,รวม,ชาย,1.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 2,รวม,รวม,หญิง,1.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 2,ในเขตเทศบาล,รวม,รวม,1.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 2,ในเขตเทศบาล,รวม,ชาย,1.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 2,ในเขตเทศบาล,รวม,หญิง,1.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 2,นอกเขตเทศบาล,รวม,รวม,1.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 2,นอกเขตเทศบาล,รวม,ชาย,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 2,นอกเขตเทศบาล,รวม,หญิง,1.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 3,รวม,รวม,รวม,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 3,รวม,รวม,ชาย,0.60,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 3,รวม,รวม,หญิง,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 3,ในเขตเทศบาล,รวม,รวม,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 3,ในเขตเทศบาล,รวม,ชาย,1.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 3,ในเขตเทศบาล,รวม,หญิง,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 3,นอกเขตเทศบาล,รวม,รวม,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 3,นอกเขตเทศบาล,รวม,ชาย,0.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 3,นอกเขตเทศบาล,รวม,หญิง,1.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 4,รวม,รวม,รวม,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 4,รวม,รวม,ชาย,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 4,รวม,รวม,หญิง,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 4,ในเขตเทศบาล,รวม,รวม,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 4,ในเขตเทศบาล,รวม,ชาย,1.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 4,ในเขตเทศบาล,รวม,หญิง,0.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 4,นอกเขตเทศบาล,รวม,รวม,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 4,นอกเขตเทศบาล,รวม,ชาย,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 4,นอกเขตเทศบาล,รวม,หญิง,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 1,รวม,รวม,รวม,1.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 1,รวม,รวม,ชาย,1.30,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 1,รวม,รวม,หญิง,1.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 1,ในเขตเทศบาล,รวม,รวม,1.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 1,ในเขตเทศบาล,รวม,ชาย,1.30,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 1,ในเขตเทศบาล,รวม,หญิง,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 1,นอกเขตเทศบาล,รวม,รวม,1.30,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 1,นอกเขตเทศบาล,รวม,ชาย,1.30,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 1,นอกเขตเทศบาล,รวม,หญิง,1.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 2,รวม,รวม,รวม,1.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 2,รวม,รวม,ชาย,1.30,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 2,รวม,รวม,หญิง,1.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 2,ในเขตเทศบาล,รวม,รวม,1.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 2,ในเขตเทศบาล,รวม,ชาย,1.40,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 2,ในเขตเทศบาล,รวม,หญิง,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 2,นอกเขตเทศบาล,รวม,รวม,1.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 2,นอกเขตเทศบาล,รวม,ชาย,1.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 2,นอกเขตเทศบาล,รวม,หญิง,1.30,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 3,รวม,รวม,รวม,1.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 3,รวม,รวม,ชาย,1.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 3,รวม,รวม,หญิง,1.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 3,ในเขตเทศบาล,รวม,รวม,1.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 3,ในเขตเทศบาล,รวม,ชาย,1.30,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 3,ในเขตเทศบาล,รวม,หญิง,1.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 3,นอกเขตเทศบาล,รวม,รวม,1.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 3,นอกเขตเทศบาล,รวม,ชาย,1.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 3,นอกเขตเทศบาล,รวม,หญิง,1.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 4,รวม,รวม,รวม,1.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 4,รวม,รวม,ชาย,1.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 4,รวม,รวม,หญิง,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 4,ในเขตเทศบาล,รวม,รวม,1.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 4,ในเขตเทศบาล,รวม,ชาย,1.30,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 4,ในเขตเทศบาล,รวม,หญิง,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 4,นอกเขตเทศบาล,รวม,รวม,1.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 4,นอกเขตเทศบาล,รวม,ชาย,1.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 4,นอกเขตเทศบาล,รวม,หญิง,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 1,รวม,รวม,รวม,1.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 1,รวม,รวม,ชาย,1.40,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 1,รวม,รวม,หญิง,1.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 1,ในเขตเทศบาล,รวม,รวม,1.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 1,ในเขตเทศบาล,รวม,ชาย,1.40,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 1,ในเขตเทศบาล,รวม,หญิง,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 1,นอกเขตเทศบาล,รวม,รวม,1.30,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 1,นอกเขตเทศบาล,รวม,ชาย,1.40,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 1,นอกเขตเทศบาล,รวม,หญิง,1.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 2,รวม,รวม,รวม,1.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 2,รวม,รวม,ชาย,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 2,รวม,รวม,หญิง,1.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 2,ในเขตเทศบาล,รวม,รวม,1.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 2,ในเขตเทศบาล,รวม,ชาย,1.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 2,ในเขตเทศบาล,รวม,หญิง,1.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 2,นอกเขตเทศบาล,รวม,รวม,1.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 2,นอกเขตเทศบาล,รวม,ชาย,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 2,นอกเขตเทศบาล,รวม,หญิง,1.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 3,รวม,รวม,รวม,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 3,รวม,รวม,ชาย,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 3,รวม,รวม,หญิง,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 3,ในเขตเทศบาล,รวม,รวม,1.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 3,ในเขตเทศบาล,รวม,ชาย,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 3,ในเขตเทศบาล,รวม,หญิง,1.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 3,นอกเขตเทศบาล,รวม,รวม,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 3,นอกเขตเทศบาล,รวม,ชาย,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 3,นอกเขตเทศบาล,รวม,หญิง,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 4,รวม,รวม,รวม,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 4,รวม,รวม,ชาย,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 4,รวม,รวม,หญิง,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 4,ในเขตเทศบาล,รวม,รวม,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 4,ในเขตเทศบาล,รวม,ชาย,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 4,ในเขตเทศบาล,รวม,หญิง,0.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
